Tipo	Lexema
Instrumento	instrumento melodia = 12
Tempo	tempo=120
Compas	compas 4/4
Octava	oct=5
Definicion	melodia:
BloqueInicio	{
NotaFigura	(re,b)
DecoradorPuntillo	.
NotaFigura	(mi,n)
NotaFigura	(fa,r)
NotaFigura	(la,n)
DecoradorPuntillo	.
NotaFigura	(sol,n)
DecoradorPuntillo	.
NotaFigura	(la,n)
NotaFigura	(do,r)
NotaFigura	(re,b)
DecoradorPuntillo	.
NotaFigura	(mi,n)
DecoradorPuntillo	.
NotaFigura	(fa,b)
NotaFigura	(mi,b)
NotaFigura	(sol,b)
NotaFigura	(la,b)
NotaFigura	(sol,b)
NotaFigura	(fa,b)
NotaFigura	(sile,n)
NotaFigura	(fa,n)
NotaFigura	(fa,n)
NotaFigura	(fa,n)
NotaFigura	(la,n)
NotaFigura	(la,n)
NotaFigura	(sol,n)
NotaFigura	(fa,n)
NotaFigura	(sile,n)
NotaFigura	(la,n)
NotaFigura	(la,n)
NotaFigura	(la,n)
NotaFigura	(sol,n)
NotaFigura	(la,n)
NotaFigura	(sol,n)
NotaFigura	(fa,n)
NotaFigura	(sile,n)
NotaFigura	(fa,n)
NotaFigura	(fa,n)
NotaFigura	(fa,n)
NotaFigura	(la,n)
NotaFigura	(la,n)
NotaFigura	(sol,n)
NotaFigura	(fa,n)
NotaFigura	(sile,n)
NotaFigura	(la,n)
NotaFigura	(la,n)
NotaFigura	(la,n)
NotaFigura	(sile,n)
NotaFigura	(do#,n)
NotaFigura	(do#,n)
NotaFigura	(do#,n)
NotaFigura	(sile,n)
NotaFigura	(fa,n)
NotaFigura	(fa,n)
NotaFigura	(fa,n)
NotaFigura	(la,n)
NotaFigura	(la,n)
NotaFigura	(sol,n)
NotaFigura	(fa,n)
NotaFigura	(sile,n)
NotaFigura	(si,n)
NotaFigura	(si,n)
NotaFigura	(si,n)
NotaFigura	(sol,b)
NotaFigura	(do,b)
NotaFigura	(la,b)
NotaFigura	(do#,b)
NotaFigura	(re,r)
BloqueFin	}
Repeat	repeat(2) melodia
